Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-15-01-01,,"我看到兽人军了，他们就位在北方，更远的地方好象是豹人族的部队。","我看到兽人军了，他们就位在北方，更远的地方好象是豹人族的部队。"
Conversation-15-01-02,,"谈到豹人，我就想起我的师兄塞可邦勒。。。咦？那不就是我师兄吗？#塞可邦勒师兄！是你吗？我是凯丽啊！","谈到豹人，我就想起我的师兄塞可邦勒。。。咦？那不就是我师兄吗？#塞可邦勒师兄！是你吗？我是凯丽啊！"
Conversation-15-01-03,,"谁在叫我？#咦！是凯丽啊！真是凑巧，怎么会在这时候遇上你。。。","谁在叫我？#咦！是凯丽啊！真是凑巧，怎么会在这时候遇上你。。。"
Conversation-15-01-04,,"我听说兽人大军攻打豹人族就带朋友们来帮忙，也没预想到会在这里遇上师兄你。。。","我听说兽人大军攻打豹人族就带朋友们来帮忙，也没预想到会在这里遇上师兄你。。。"
Conversation-15-01-05,,"既然如此，就先谢谢你了！#还有，这批兽人是由其首领萨卡所带领，你们要特别小心！","既然如此，就先谢谢你了！#还有，这批兽人是由其首领萨卡所带领，你们要特别小心！"
Conversation-15-01-06,,"我知道了！#索尔，亚雷斯，大家帮我这个忙好吗？#我一个人是打不过这批兽人大军的。。。","我知道了！#索尔，亚雷斯，大家帮我这个忙好吗？#我一个人是打不过这批兽人大军的。。。"
Conversation-15-01-07,,"放心吧，我们本来就是要来帮豹人的，索尔，你说是不是？","放心吧，我们本来就是要来帮豹人的，索尔，你说是不是？"
Conversation-15-01-08,,"是啊！来这里不就是要打架的吗？#眼前就有一大堆欠揍的家伙，还罗嗦什么？我们上吧！","是啊！来这里不就是要打架的吗？#眼前就有一大堆欠揍的家伙，还罗嗦什么？我们上吧！"
Conversation-15-01-09,,"谢谢大家！","谢谢大家！"
Conversation-15-01-10,,"哼，又有妨碍者了吗？#通通多去死吧！给我杀的一个都不剩！","哼，又有妨碍者了吗？#通通多去死吧！给我杀的一个都不剩！"
Conversation-15-02-01,,"我看到兽人军了，他们就位在北方，更远的地方好象是豹人族的部队。","我看到兽人军了，他们就位在北方，更远的地方好象是豹人族的部队。"
Conversation-15-02-02,,"看来豹人情式不妙，我们赶快去助它们一臂之力！","看来豹人情式不妙，我们赶快去助它们一臂之力！"
Conversation-15-02-03,,"喂！#豹人的老兄们别怕，我们来帮忙了！","喂！#豹人的老兄们别怕，我们来帮忙了！"
Conversation-15-02-04,,"是谁来了？#是敌方援军吗？#咦！是一群年轻小伙子。。。#此地战况险恶，你们来这里干什么？#不想受伤就快走吧！","是谁来了？#是敌方援军吗？#咦！是一群年轻小伙子。。。#此地战况险恶，你们来这里干什么？#不想受伤就快走吧！"
Conversation-15-02-05,,"老兄你心地不错啊！#放心，我们是来帮你们的，这些杂碎交给我们就没错啦！","老兄你心地不错啊！#放心，我们是来帮你们的，这些杂碎交给我们就没错啦！"
Conversation-15-02-06,,"这样吗？#看你们信心十足的样子。。#好吧，我在此先谢谢你们！#此外，这批兽人是由其首领萨卡所带领，你们要特别小心！","这样吗？#看你们信心十足的样子。。#好吧，我在此先谢谢你们！#此外，这批兽人是由其首领萨卡所带领，你们要特别小心！"
Conversation-15-02-07,,"知道啦！#各位，咱们上吧！","知道啦！#各位，咱们上吧！"
Conversation-15-02-08,,"哼，又有妨碍者了吗？#通通都去死吧！给我杀的一个都不剩！","哼，又有妨碍者了吗？#通通都去死吧！给我杀的一个都不剩！"
Conversation-15-02-09,,"没退路了，大家跟他们拼了！","没退路了，大家跟他们拼了！"
Conversation-15-02-10,,"就这几个人还解决不了，第二队再上！","就这几个人还解决不了，第二队再上！"
Conversation-15-03-01,,"哎呀！#我们好像来迟啦！","哎呀！#我们好像来迟啦！"
Conversation-15-03-02,,"首领命令我们携带这批贵重宝物，为了避免一起注意所以绕道而行，迟到也是应该的。","首领命令我们携带这批贵重宝物，为了避免一起注意所以绕道而行，迟到也是应该的。"
Conversation-15-03-03,,"不知道现在战况如何？","不知道现在战况如何？"
Conversation-15-03-04,,"喂！你们不是负责运送宝物的吗？#来这里干什么？","喂！你们不是负责运送宝物的吗？#来这里干什么？"
Conversation-15-03-05,,"首领吩咐我们带着东西，到这里和他们会合。。。","首领吩咐我们带着东西，到这里和他们会合。。。"
Conversation-15-03-06,,"笨蛋！#你没看到战况不妙吗？#赶快离开这里，把东西带到艾斯岛去！","笨蛋！#你没看到战况不妙吗？#赶快离开这里，把东西带到艾斯岛去！"
Conversation-15-03-07,,"。。知。。知道了！","。。知。。知道了！"
Conversation-15-03-08,,"赶快逃啊！","赶快逃啊！"
Conversation-15-04-01,,"咦？这。。这不是「光之眼」的宝石吗？为何兽人族也在收集这些东西。。。","咦？这。。这不是「光之眼」的宝石吗？为何兽人族也在收集这些东西。。。"
Conversation-15-04-02,,"传说中的「魔眼宝石」吗？我听老师说过，听说他们有强大的魔力，但这和兽人族有什么关系？。。。","传说中的「魔眼宝石」吗？我听老师说过，听说他们有强大的魔力，但这和兽人族有什么关系？。。。"
Conversation-15-04-03,,"你也知道吗？据说他们的价值并不只是魔力而已，而是和一件古代的秘密有很大的关系。。。","你也知道吗？据说他们的价值并不只是魔力而已，而是和一件古代的秘密有很大的关系。。。"
Conversation-15-04-04,,"你们在谈些什么？好象很有趣的样子！","你们在谈些什么？好象很有趣的样子！"
Conversation-15-04-05,,"不聊了，先把仗打完再说！","不聊了，先把仗打完再说！"
Conversation-15-05-01,,"啊。。主人，救救我。。你答应要给我。。给我力量和。。永恒的。。生命的。。。。","啊。。主人，救救我。。你答应要给我。。给我力量和。。永恒的。。生命的。。。。"
Conversation-15-05-02,,"糟啦，这一下打得太重了些，等一下没人可以问话了，可惜可惜。","糟啦，这一下打得太重了些，等一下没人可以问话了，可惜可惜。"
Conversation-15-06-01,,"感谢各位的协助,我们才能够抵挡兽人大军的攻势,我们代表豹人族向各位致上十二万分的谢意。","感谢各位的协助,我们才能够抵挡兽人大军的攻势,我们代表豹人族向各位致上十二万分的谢意。"
Conversation-15-06-02,,"师兄，不用客气啦，我这些朋友们都是正义的热血好汉，他们一路上已经不知道帮了多少人呢。","师兄，不用客气啦，我这些朋友们都是正义的热血好汉，他们一路上已经不知道帮了多少人呢。"
Conversation-15-06-03,,"话虽然这么说，我还是要谢谢他们。对了，凯丽，你可有看到兽人的军队在其他地方出现？","话虽然这么说，我还是要谢谢他们。对了，凯丽，你可有看到兽人的军队在其他地方出现？"
Conversation-15-06-04,,"有啊！他们显示攻打精灵族的都城哈斯米尔，然后又和我们在兰迪平原打了一仗，最近兽人都看得厌了。","有啊！他们显示攻打精灵族的都城哈斯米尔，然后又和我们在兰迪平原打了一仗，最近兽人都看得厌了。"
Conversation-15-06-05,,"感谢各位的协助,我们才能够抵挡兽人军的攻势,我们代表豹人族向各位致上十二万分的谢意。","感谢各位的协助,我们才能够抵挡兽人军的攻势,我们代表豹人族向各位致上十二万分的谢意。"
Conversation-15-06-06,,"小事一桩！正好也可让我们活动活动筋骨。","小事一桩！正好也可让我们活动活动筋骨。"
Conversation-15-06-07,,"话虽然这么说，我还是要谢谢你们。对了，各位可有看到兽人的军队在其它地方出现？","话虽然这么说，我还是要谢谢你们。对了，各位可有看到兽人的军队在其它地方出现？"
Conversation-15-06-08,,"有啊！他们先是攻打精灵族的都城哈斯米尔，然后又和我们在兰迪平原打了一仗，最近兽人真是嚣张得不得了。","有啊！他们先是攻打精灵族的都城哈斯米尔，然后又和我们在兰迪平原打了一仗，最近兽人真是嚣张得不得了。"
Conversation-15-06-09,,"有这种事？看来阴谋之说果然是真的。","有这种事？看来阴谋之说果然是真的。"
Conversation-15-06-10,,"什么意思？","什么意思？"
Conversation-15-06-11,,"最近我得到消息，说有人在背后操纵黑森林一带的兽人族和狂战士，准备要对精灵族和豹人族进行灭族的屠戮行动，我起初还半信半疑，兼程赶回家乡看看，没想到就遇上了。","最近我得到消息，说有人在背后操纵黑森林一带的兽人族和狂战士，准备要对精灵族和豹人族进行灭族的屠戮行动，我起初还半信半疑，兼程赶回家乡看看，没想到就遇上了。"
Conversation-15-06-12,,"我们精灵族也差点惨遭屠戮，到底是谁在背后操纵这一切？","我们精灵族也差点惨遭屠戮，到底是谁在背后操纵这一切？"
Conversation-15-06-13,,"这我也不清楚，不过据我那朋友所言，有更大群的兽人和黑暗战士在北方的冰岛一带集结，她已经先去调查了，我预计在解决这里的事情之后，也会尽快赶去和她会合。","这我也不清楚，不过据我那朋友所言，有更大群的兽人和黑暗战士在北方的冰岛一带集结，她已经先去调查了，我预计在解决这里的事情之后，也会尽快赶去和她会合。"
Conversation-15-06-14,,"恩，约拿似乎也是往这个方向而去，看来这些事情似乎有所关连。。。","恩，约拿似乎也是往这个方向而去，看来这些事情似乎有所关连。。。"
Conversation-15-06-15,,"既然顺路的话，那我们就一起去吧！","既然顺路的话，那我们就一起去吧！"
Conversation-15-06-16,,"就这么办吧，我倒想看看到底是谁在搞鬼！走吧！","就这么办吧，我倒想看看到底是谁在搞鬼！走吧！"
