Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-05-01-01,,"喔呵呵呵！摆平了这些士兵，塞拉村就是我的拉！","喔呵呵呵！摆平了这些士兵，塞拉村就是我的拉！"
Conversation-05-01-02,,"别做梦了！我们的援军再过一会就到了，等着瞧吧！","别做梦了！我们的援军再过一会就到了，等着瞧吧！"
Conversation-05-01-03,,"那就要看你们能不能活到哪个时候了！","那就要看你们能不能活到哪个时候了！"
Conversation-05-01-04,,"可恶的强盗，连这个神圣的村庄都敢侵犯，我不会放过你们的！","可恶的强盗，连这个神圣的村庄都敢侵犯，我不会放过你们的！"
Conversation-05-01-05,,"小女孩来凑什么热闹，若不想受伤就快回家去！","小女孩来凑什么热闹，若不想受伤就快回家去！"
Conversation-05-01-06,,"可恶，你敢轻视我！我的护卫们很快就到了，那时候就。。。","可恶，你敢轻视我！我的护卫们很快就到了，那时候就。。。"
Conversation-05-01-07,,"哎呀呀呀！果然出事了！","哎呀呀呀！果然出事了！"
Conversation-05-01-08,,"好大群的强盗啊！这下子有得打了。。。","好大群的强盗啊！这下子有得打了。。。"
Conversation-05-01-09,,"喔呵呵呵！这些就是你的护卫吗？怎么看起来都是些小毛头？","喔呵呵呵！这些就是你的护卫吗？怎么看起来都是些小毛头？"
Conversation-05-01-10,,"这个。。。。","这个。。。。"
Conversation-05-01-11,,"谁是小毛头！老女人，你说话最好小心点！","谁是小毛头！老女人，你说话最好小心点！"
Conversation-05-01-12,,"不知死活的小鬼，让你吃些苦头，你才会知道大姐我的厉害。通通都给我杀了！","不知死活的小鬼，让你吃些苦头，你才会知道大姐我的厉害。通通都给我杀了！"
Conversation-05-01-13,,"喂！你们来帮个忙吧！打退这个强盗团，我可以付你们不低的酬金。。。","喂！你们来帮个忙吧！打退这个强盗团，我可以付你们不低的酬金。。。"
Conversation-05-01-14,,"要打架吗？我兴致可高的很，亚雷斯，我们上！","要打架吗？我兴致可高的很，亚雷斯，我们上！"
Conversation-05-01-15,,"敌人数量很多，大家小心了！","敌人数量很多，大家小心了！"
Conversation-05-02-01,,"就几个小鬼还打发不掉吗？好，第二队，第三队上！","就几个小鬼还打发不掉吗？好，第二队，第三队上！"
Conversation-05-03-01,,"无法无天的盗贼，竟然侵犯受神所庇护的神圣之村，难道不怕遭天罚吗？我们王国正规军这就来替天行道！","无法无天的盗贼，竟然侵犯受神所庇护的神圣之村，难道不怕遭天罚吗？我们王国正规军这就来替天行道！"
Conversation-05-03-02,,"你们来的正好，还来得及帮你们的伙伴收尸。喔呵呵呵！","你们来的正好，还来得及帮你们的伙伴收尸。喔呵呵呵！"
Conversation-05-03-03,,"可恶，大家上啊！和这些家伙拼了！","可恶，大家上啊！和这些家伙拼了！"
Conversation-05-04-01,,"呜吼~~好吵啊！","呜吼~~好吵啊！"
Conversation-05-04-02,,"呜吼~~又发生什么事了？","呜吼~~又发生什么事了？"
Conversation-05-04-03,,"呜吼~~又有人类在打架了！","呜吼~~又有人类在打架了！"
Conversation-05-04-04,,"有趣有趣！我们再去打人少的那一边！","有趣有趣！我们再去打人少的那一边！"
Conversation-05-05-01,,"吼。。等等，那好象是我们上次遇到的那一批人耶！好可怕，不要和他们打！快逃快逃！","吼。。等等，那好象是我们上次遇到的那一批人耶！好可怕，不要和他们打！快逃快逃！"
Conversation-05-06-01,,"。。。啊。。我居然就这样被一群小鬼打败了，我不甘心。。。","。。。啊。。我居然就这样被一群小鬼打败了，我不甘心。。。"
Conversation-05-06-02,,"多谢大家帮我们打败盗贼，我代表村中的祭司们向各位致谢。除了我答应的酬劳外，各位是否还需要任何医疗与协助？相信祭司们会很乐意帮忙的。","多谢大家帮我们打败盗贼，我代表村中的祭司们向各位致谢。除了我答应的酬劳外，各位是否还需要任何医疗与协助？相信祭司们会很乐意帮忙的。"
Conversation-05-06-03,,"酬劳可以免拉，帮我们医好这位小姐的失忆症就可以了。","酬劳可以免拉，帮我们医好这位小姐的失忆症就可以了。"
Conversation-05-06-04,,"失忆症？这个。。这种病，他们恐怕是帮不上忙喔！","失忆症？这个。。这种病，他们恐怕是帮不上忙喔！"
Conversation-05-06-05,,"为什么？","为什么？"
Conversation-05-06-06,,"我曾跟着村中的祭司学过一阵子神术，据我所知，神术能医治的都是肢骨肉体上的疾病，失忆症算是一种心病，神术并不会对心灵记忆等产生影响，所以也无从治起。","我曾跟着村中的祭司学过一阵子神术，据我所知，神术能医治的都是肢骨肉体上的疾病，失忆症算是一种心病，神术并不会对心灵记忆等产生影响，所以也无从治起。"
Conversation-05-06-07,,"嘎？那岂不是。。白忙一场了？希。。希莉亚！","嘎？那岂不是。。白忙一场了？希。。希莉亚！"
Conversation-05-06-08,,"这。。这不是我的错啊！我本来也以为祭司们医术高超，一定能治好悠妮的失忆症的。。 ","这。。这不是我的错啊！我本来也以为祭司们医术高超，一定能治好悠妮的失忆症的。。 "
