Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-23-01-01,,"呼！难过死了。。咦！这里是敌人的根据地吗？为何看起来一点都不像？","呼！难过死了。。咦！这里是敌人的根据地吗？为何看起来一点都不像？"
Conversation-23-01-02,,"在传送魔法启动后，我感觉到有极强的魔力从中干扰，传送魔法的作用因此发生了错乱。。希尔法，我说得没错吧？","在传送魔法启动后，我感觉到有极强的魔力从中干扰，传送魔法的作用因此发生了错乱。。希尔法，我说得没错吧？"
Conversation-23-01-03,,"是的，传送过程受到这种干扰，我们没有全部嵌到岩壁里去就该庆幸不已了。不过这里应该离原来的目的地不远，这个我大概可以确定。。。","是的，传送过程受到这种干扰，我们没有全部嵌到岩壁里去就该庆幸不已了。不过这里应该离原来的目的地不远，这个我大概可以确定。。。"
Conversation-23-01-04,,"可恶，原来又是敌人搞的鬼！","可恶，原来又是敌人搞的鬼！"
Conversation-23-01-05,,"咦！什么时候多了好大一票人出来？他们是怎么来到这里的，我们居然毫无知觉？","咦！什么时候多了好大一票人出来？他们是怎么来到这里的，我们居然毫无知觉？"
Conversation-23-01-06,,"什么？是敌人吗？","什么？是敌人吗？"
Conversation-23-01-07,,"看起来不像，还是先过去打个照面再说！","看起来不像，还是先过去打个照面再说！"
Conversation-23-01-08,,"哎呀，有人比我们先来了呢！","哎呀，有人比我们先来了呢！"
Conversation-23-01-09,,"敌人这么快就来了吗？","敌人这么快就来了吗？"
Conversation-23-01-10,,"不像，对方只有两个人而已。。好象想和我们谈话的样子。","不像，对方只有两个人而已。。好象想和我们谈话的样子。"
Conversation-23-01-11,,"不知各位为何跋涉千里，来到这沙漠之中的废墟？是和我们一样为了研究遗迹而来的吗？","不知各位为何跋涉千里，来到这沙漠之中的废墟？是和我们一样为了研究遗迹而来的吗？"
Conversation-23-01-12,,"啊！你不是卡里斯叔叔吗？","啊！你不是卡里斯叔叔吗？"
Conversation-23-01-13,,"你说什么？你怎么知道我叫卡里斯？","你说什么？你怎么知道我叫卡里斯？"
Conversation-23-01-14,,"卡里斯叔叔，我是索尔啊！小时侯你经常带我们去玩，还教我武术的。。。。","卡里斯叔叔，我是索尔啊！小时侯你经常带我们去玩，还教我武术的。。。。"
Conversation-23-01-15,,"你这么一说，我也想起来了！他的确是曾经教过我们武术的卡里斯叔叔！","你这么一说，我也想起来了！他的确是曾经教过我们武术的卡里斯叔叔！"
Conversation-23-01-16,,"你是索尔王子吗？那你就是巴拉多的儿子亚雷斯了！我记得你们从小就在一起的。","你是索尔王子吗？那你就是巴拉多的儿子亚雷斯了！我记得你们从小就在一起的。"
Conversation-23-01-17,,"答对啦卡里斯叔叔，你果然还记得我们！真是好久不见了。","答对啦卡里斯叔叔，你果然还记得我们！真是好久不见了。"
Conversation-23-01-18,,"听父说您到海外来探险，我们都神往不已呢！真没想到会在这里遇见您。","听父说您到海外来探险，我们都神往不已呢！真没想到会在这里遇见您。"
Conversation-23-01-19,,"时间过的真快，你们都长大啦！雷特王子，陛下这些日子还好吗？","时间过的真快，你们都长大啦！雷特王子，陛下这些日子还好吗？"
Conversation-23-01-20,,"父王母后都很安健，不过老嫌生活平淡了些，大概是等着听卡里斯叔叔您的冒险故事吧！","父王母后都很安健，不过老嫌生活平淡了些，大概是等着听卡里斯叔叔您的冒险故事吧！"
Conversation-23-01-21,,"哪！又遇见了一个熟人，这可不是罗得曼吗？你一个好好的边防将军不做，又跑来这里考古啦？","哪！又遇见了一个熟人，这可不是罗得曼吗？你一个好好的边防将军不做，又跑来这里考古啦？"
Conversation-23-01-22,,"果然是约拿你这把老骨头，世界上就你最清楚我的习性。你怎么也舍得跑到这荒山野外来了？","果然是约拿你这把老骨头，世界上就你最清楚我的习性。你怎么也舍得跑到这荒山野外来了？"
Conversation-23-01-23,,"我倒忘了问你，这里到底是哪里？我们是被魔法传送来的。","我倒忘了问你，这里到底是哪里？我们是被魔法传送来的。"
Conversation-23-01-24,,"呦，这趟路可真远了！这里是大陆西北方的沙漠中央的一个绿洲，我一直对这绿洲中的废墟感兴趣，所以和这朋友一起来调查。","呦，这趟路可真远了！这里是大陆西北方的沙漠中央的一个绿洲，我一直对这绿洲中的废墟感兴趣，所以和这朋友一起来调查。"
Conversation-23-01-25,,"不瞒各位，最近有一位学者帮我解读了一篇上古经典的记载，我正在追查其中一些古物的下落，所以碰巧来到这里。。。。","不瞒各位，最近有一位学者帮我解读了一篇上古经典的记载，我正在追查其中一些古物的下落，所以碰巧来到这里。。。。"
Conversation-23-01-26,,"哔，发现入侵者！指令：保护飞行岩，交战并歼灭入侵者。","哔，发现入侵者！指令：保护飞行岩，交战并歼灭入侵者。"
Conversation-23-01-27,,"哔，指令确认！开始动作！","哔，指令确认！开始动作！"
Conversation-23-01-28,,"嘿，那是什么怪东西？","嘿，那是什么怪东西？"
Conversation-23-01-29,,"那是典籍中所记载的古代机兵，他们负责保护所有古代人所留下来的建筑和设施，会将入侵者杀戮殆尽。。。。现在没时间说明了，准备应付这些家伙吧！","那是典籍中所记载的古代机兵，他们负责保护所有古代人所留下来的建筑和设施，会将入侵者杀戮殆尽。。。。现在没时间说明了，准备应付这些家伙吧！"
Conversation-23-01-30,,"说到打架，我精神就来了！我们上！","说到打架，我精神就来了！我们上！"
Conversation-23-02-01,,"哔，指令系统失效。。任务中止。。指令传输关闭。。。","哔，指令系统失效。。任务中止。。指令传输关闭。。。"
Conversation-23-02-02,,"不愧是古代人建造的机兵，应付起来真是棘手的很。。幸好大家都能独当一面，才能顺利消灭这些敌人。","不愧是古代人建造的机兵，应付起来真是棘手的很。。幸好大家都能独当一面，才能顺利消灭这些敌人。"
Conversation-23-02-03,,"危机已过，现在我们可以仔细研究这个遗迹了。","危机已过，现在我们可以仔细研究这个遗迹了。"
Conversation-23-02-04,,"卡里斯叔叔，这遗迹到底有什么秘密，你还没告诉我们呢！","卡里斯叔叔，这遗迹到底有什么秘密，你还没告诉我们呢！"
Conversation-23-02-05,,"是这样吗？其实我䱟是从古籍上看来的。据说眼前这个小丘是古代人所造的飞行用具，经由一支传送法杖的力量，可以把拥有「天空之钥」的人带到黄金的城堡上去。","是这样吗？其实我䱟是从古籍上看来的。据说眼前这个小丘是古代人所造的飞行用具，经由一支传送法杖的力量，可以把拥有「天空之钥」的人带到黄金的城堡上去。"
Conversation-23-02-06,,"天空之钥？那不就在我们手上吗？","天空之钥？那不就在我们手上吗？"
Conversation-23-02-07,,"「传送手杖」也有啊！我们就是被它传送到这里来的。","「传送手杖」也有啊！我们就是被它传送到这里来的。"
Conversation-23-02-08,,"真的？那真是太巧了！","真的？那真是太巧了！"
Conversation-23-02-09,,"我一直认为，最近大陆上的天地异变和神秘敌人都和这「黄金城」有关。在古代传说中，黄金城总和战争，灾厄等脱不了关系，所以我们一直都在追查这其中的关联。","我一直认为，最近大陆上的天地异变和神秘敌人都和这「黄金城」有关。在古代传说中，黄金城总和战争，灾厄等脱不了关系，所以我们一直都在追查这其中的关联。"
Conversation-23-02-10,,"这确是有加以查明的必要。索尔殿下，既然这两件东西都已到手，可以让我和你们一起去看看吗？","这确是有加以查明的必要。索尔殿下，既然这两件东西都已到手，可以让我和你们一起去看看吗？"
Conversation-23-02-11,,"当然可以！有卡里斯叔叔同行，什么对手都不足为惧了！","当然可以！有卡里斯叔叔同行，什么对手都不足为惧了！"
Conversation-23-02-12,,"是呀！","是呀！"
Conversation-23-02-13,,"我听过这东西，据说它是通往黄金城堡的唯一方法。","我听过这东西，据说它是通往黄金城堡的唯一方法。"
Conversation-23-02-14,,"我们并未预料到会有敌人出现，这回算是相当的惊险。。不过，我想我还是先回城休养一下好了，将军殿下，这里就先交给你了。","我们并未预料到会有敌人出现，这回算是相当的惊险。。不过，我想我还是先回城休养一下好了，将军殿下，这里就先交给你了。"
Conversation-23-02-15,,"卡里斯叔叔，你要多保重喔！","卡里斯叔叔，你要多保重喔！"
Conversation-23-02-16,,"索尔殿下，您和亚雷斯也要多小心！不过以你们的表现看来，我想我是可以放心了。我们后会有期！","索尔殿下，您和亚雷斯也要多小心！不过以你们的表现看来，我想我是可以放心了。我们后会有期！"
Conversation-23-02-17,,"罗得曼，那你打算怎么办呢？我很希望能有像你这样的武士加入，这对我们的战斗力有很大的提升。","罗得曼，那你打算怎么办呢？我很希望能有像你这样的武士加入，这对我们的战斗力有很大的提升。"
Conversation-23-02-18,,"我。。唉，我想。。我还是不太适合。老友，我也要回城了，希望你们此行顺利，都能平安归来。","我。。唉，我想。。我还是不太适合。老友，我也要回城了，希望你们此行顺利，都能平安归来。"
Conversation-23-02-19,,"唉，都是因为我的关系。。。。","唉，都是因为我的关系。。。。"
Conversation-23-02-20,,"前辈，这怎么说？","前辈，这怎么说？"
