Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-31-01-01,,"这是马拉大陆的土地！我们终于又回到家园了。哈，多踩几下这坚实的土地！","这是马拉大陆的土地！我们终于又回到家园了。哈，多踩几下这坚实的土地！"
Conversation-31-01-02,,"啊~凉爽的微风，和煦的阳光！还是这个世界比较美好！","啊~凉爽的微风，和煦的阳光！还是这个世界比较美好！"
Conversation-31-01-03,,"很高兴我们解决了一切的事端，并且保住了这个世界。大家做得很好！","很高兴我们解决了一切的事端，并且保住了这个世界。大家做得很好！"
Conversation-31-01-04,,"我会叫父王办个盛大的庆功宴，我们大家好好庆祝庆祝！这可是连王国禁卫军都做不到的伟大成就哦！","我会叫父王办个盛大的庆功宴，我们大家好好庆祝庆祝！这可是连王国禁卫军都做不到的伟大成就哦！"
Conversation-31-01-05,,"亚雷斯，到时候我们痛快的喝一杯！你会陪我的吧？","亚雷斯，到时候我们痛快的喝一杯！你会陪我的吧？"
Conversation-31-01-06,,"这个。。我负责在旅途中侍卫索尔王子，如今事情已经圆满解决，为了避免陛下和皇后担忧，我想还是早点回罗特帝亚比较好。。。。","这个。。我负责在旅途中侍卫索尔王子，如今事情已经圆满解决，为了避免陛下和皇后担忧，我想还是早点回罗特帝亚比较好。。。。"
Conversation-31-01-07,,"这样吗。。可是，可是。。。。。。留下来玩个几天不行吗？","这样吗。。可是，可是。。。。。。留下来玩个几天不行吗？"
Conversation-31-01-08,,"洛娜，既然你舍不得亚雷斯可以和他一起回罗特帝亚啊，过几天我也要以正式身份前往罗特帝亚拜访，那时候你再和我一起去不就好了。","洛娜，既然你舍不得亚雷斯可以和他一起回罗特帝亚啊，过几天我也要以正式身份前往罗特帝亚拜访，那时候你再和我一起去不就好了。"
Conversation-31-01-09,,"恩，这样的话，那。。。。。。。。亚雷斯，那我们到时候见了！","恩，这样的话，那。。。。。。。。亚雷斯，那我们到时候见了！"
Conversation-31-01-10,,"嘿，好。。好啊！(唉！这下头大了。。。。)","嘿，好。。好啊！(唉！这下头大了。。。。)"
Conversation-31-01-11,,"看到这些年轻人的样子，真让我想起自己年轻的时候。呵呵呵。。。。","看到这些年轻人的样子，真让我想起自己年轻的时候。呵呵呵。。。。"
Conversation-31-01-12,,"是啊！打赢了这么一场仗，轻松轻松也是应该的。。咦？索尔呢？","是啊！打赢了这么一场仗，轻松轻松也是应该的。。咦？索尔呢？"
Conversation-31-01-13,,"怪了，刚刚还在这里的。。。。啊，在那边！","怪了，刚刚还在这里的。。。。啊，在那边！"
Conversation-31-01-14,,"索尔，怎么了？","索尔，怎么了？"
Conversation-31-01-15,,"悠妮。。悠妮在那里，在天空之中。。。。","悠妮。。悠妮在那里，在天空之中。。。。"
Conversation-31-01-16,,"有吗？我什么都没看到。。","有吗？我什么都没看到。。"
Conversation-31-01-17,,"那是。。那是黄金城！","那是。。那是黄金城！"
Conversation-31-01-18,,"这就是几百年来，从未有人见到过起庐山真面目的黄金城吗？","这就是几百年来，从未有人见到过起庐山真面目的黄金城吗？"
Conversation-31-01-19,,"。。。。有着神与天空的威严，却只能带来死亡和毁灭的传说之城。。。。","。。。。有着神与天空的威严，却只能带来死亡和毁灭的传说之城。。。。"
Conversation-31-01-20,,"。。。。索尔。。。。永远再见了，你要好好保重。。。。","。。。。索尔。。。。永远再见了，你要好好保重。。。。"
Conversation-31-01-21,,"是悠妮的声音！悠妮。。。。","是悠妮的声音！悠妮。。。。"
Conversation-31-01-22,,"那是。。。。悠妮最后的道别吧？","那是。。。。悠妮最后的道别吧？"
Conversation-31-01-23,,"。。。。谢谢你，悠妮！在往后的岁月中，我仍会永远记得你。。。。和这段非凡的冒险旅程。。。。","。。。。谢谢你，悠妮！在往后的岁月中，我仍会永远记得你。。。。和这段非凡的冒险旅程。。。。"
Conversation-31-01-24,,"是的，一切就到此结束了。黄金城的传说。。。。","是的，一切就到此结束了。黄金城的传说。。。。"
