Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-17-01-01,,"我所料果然不错，瞧，一大堆敌人集结在这小小的冰岛上，一定有什么图谋。。。","我所料果然不错，瞧，一大堆敌人集结在这小小的冰岛上，一定有什么图谋。。。"
Conversation-17-01-02,,"让我看看。。哎呀！有兽人黑暗战士和没见过的家伙呢，声势似乎颇为浩大的样子！","让我看看。。哎呀！有兽人黑暗战士和没见过的家伙呢，声势似乎颇为浩大的样子！"
Conversation-17-01-03,,"密蒂前辈，我们。。我们现在该怎么办呢？","密蒂前辈，我们。。我们现在该怎么办呢？"
Conversation-17-01-04,,"那还用说！把他们全宰了，事情就可以告一段落了！","那还用说！把他们全宰了，事情就可以告一段落了！"
Conversation-17-01-05,,"这样吗？我也同意索尔的看法。。总胜于站在这里发呆吧！","这样吗？我也同意索尔的看法。。总胜于站在这里发呆吧！"
Conversation-17-01-06,,"是啊！我们千里迢迢的赶来这里，不就是要把事情弄清楚吗？","是啊！我们千里迢迢的赶来这里，不就是要把事情弄清楚吗？"
Conversation-17-01-07,,"小心！敌人已经注意到我们了！","小心！敌人已经注意到我们了！"
Conversation-17-01-08,,"剑圣密蒂吗？你总算来了，我知道这几天来你一直在调查此地的事。。唔，看来你还带了不少陪葬的家伙，这一来这冰岛上可有得热闹了。。。","剑圣密蒂吗？你总算来了，我知道这几天来你一直在调查此地的事。。唔，看来你还带了不少陪葬的家伙，这一来这冰岛上可有得热闹了。。。"
Conversation-17-01-09,,"密蒂前辈，这奇怪的家伙就是事件的元凶首恶吗？","密蒂前辈，这奇怪的家伙就是事件的元凶首恶吗？"
Conversation-17-01-10,,"我想应该是。别小看他这奇形怪状的模样，我感觉得到他身上有强大的魔力。。。。总之，这是个棘手的强敌，索尔你要特别小心！","我想应该是。别小看他这奇形怪状的模样，我感觉得到他身上有强大的魔力。。。。总之，这是个棘手的强敌，索尔你要特别小心！"
Conversation-17-01-11,,"哼，我才不怕这家伙呢！大家上啊！","哼，我才不怕这家伙呢！大家上啊！"
Conversation-17-01-12,,"真没格调的家伙，本来还想和你们聊聊的，只好早点送你们下地狱了。。给我杀个片甲不留！","真没格调的家伙，本来还想和你们聊聊的，只好早点送你们下地狱了。。给我杀个片甲不留！"
Conversation-17-02-01,,"密蒂阁下，我们没有来迟吧！","密蒂阁下，我们没有来迟吧！"
Conversation-17-02-02,,"各位来的正好！敌人兵力强大，请各位尽力作战，我们务必取得胜利！","各位来的正好！敌人兵力强大，请各位尽力作战，我们务必取得胜利！"
Conversation-17-02-03,,"是！我们一定不会让阁下您失望的！","是！我们一定不会让阁下您失望的！"
Conversation-17-03-01,,"为什么。。为什么这些下贱的人类居然能打倒我。。。。？主人，救救我。。。","为什么。。为什么这些下贱的人类居然能打倒我。。。。？主人，救救我。。。"
Conversation-17-03-02,,"咦！这可不是。。「冰之眼」宝石？原来是在冰魔神的身上。。。。 ","咦！这可不是。。「冰之眼」宝石？原来是在冰魔神的身上。。。。 "
