Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-29-01-01,,"好累，拐了半天路，头都快晕了。。。。","好累，拐了半天路，头都快晕了。。。。"
Conversation-29-01-02,,"没办法，为了少打一些无谓的仗以保留大家的实力，尽量避开其它的守卫队是必须的。","没办法，为了少打一些无谓的仗以保留大家的实力，尽量避开其它的守卫队是必须的。"
Conversation-29-01-03,,"唔！这地方蕴涵着极强大的能量，其威力之强是我前所未见的。。","唔！这地方蕴涵着极强大的能量，其威力之强是我前所未见的。。"
Conversation-29-01-04,,"是的，这里就是黄金城的核心，次元反应炉。这反应炉不但产生整个要塞所需的动力，以某种方法将它的反应逆转，也可以让它成为恐怖的最终兵器。。。。","是的，这里就是黄金城的核心，次元反应炉。这反应炉不但产生整个要塞所需的动力，以某种方法将它的反应逆转，也可以让它成为恐怖的最终兵器。。。。"
Conversation-29-01-05,,"那我们现在该怎么办？破坏它吗？","那我们现在该怎么办？破坏它吗？"
Conversation-29-01-06,,"不！并不需要破坏它，在这核心区的北方，就是要塞的中枢控制系统，只要有这天空之钥，我就可以接管要塞的中枢系统，经由我的终端连接内部的网络来控制整个要塞。","不！并不需要破坏它，在这核心区的北方，就是要塞的中枢控制系统，只要有这天空之钥，我就可以接管要塞的中枢系统，经由我的终端连接内部的网络来控制整个要塞。"
Conversation-29-01-07,,"悠妮，想不到你有这种能力，我好佩服你！","悠妮，想不到你有这种能力，我好佩服你！"
Conversation-29-01-08,,"是吗？想要有这种能力，可是要付出可怕的代价的。。不多说了，我们这就过去吧。","是吗？想要有这种能力，可是要付出可怕的代价的。。不多说了，我们这就过去吧。"
Conversation-29-01-09,,"哔，目标发现并确认！执行作战指令！间接坐标传输完成，防卫用障壁启动！各单位，歼灭所有敌目标！不需顾虑ASR-07！","哔，目标发现并确认！执行作战指令！间接坐标传输完成，防卫用障壁启动！各单位，歼灭所有敌目标！不需顾虑ASR-07！"
Conversation-29-01-10,,"哼，有埋伏！","哼，有埋伏！"
Conversation-29-01-11,,"地形差了一点是真的，但要战胜应该还不是难事。","地形差了一点是真的，但要战胜应该还不是难事。"
Conversation-29-01-12,,"这里现在还完全在敌方的控制下，我们千万不能掉以轻心。大家设法护送我到前面的控制盘去就可以了，只要让我有机会把「天空之钥」安装好，我就能让这些防卫部队全部变成废铁。","这里现在还完全在敌方的控制下，我们千万不能掉以轻心。大家设法护送我到前面的控制盘去就可以了，只要让我有机会把「天空之钥」安装好，我就能让这些防卫部队全部变成废铁。"
Conversation-29-01-13,,"没问题，包在我身上！","没问题，包在我身上！"
Conversation-29-01-14,,"我们赶快动手吧，可别让敌人抢了先机！","我们赶快动手吧，可别让敌人抢了先机！"
Conversation-29-02-01,,"就是这里了！系统识别码。。0370425188。。啊，这是。。","就是这里了！系统识别码。。0370425188。。啊，这是。。"
Conversation-29-02-02,,"悠妮，怎样？","悠妮，怎样？"
Conversation-29-02-03,,"中枢撤消最高级系统防卫需要一些时间，我想还要再等一会儿！","中枢撤消最高级系统防卫需要一些时间，我想还要再等一会儿！"
Conversation-29-02-04,,"没关系！倒是你自己可要多小心些！","没关系！倒是你自己可要多小心些！"
Conversation-29-02-05,,"好的！","好的！"
Conversation-29-03-01,,"奇怪，终端竟然抗拒我的命令，有人对防卫系统动了手脚！","奇怪，终端竟然抗拒我的命令，有人对防卫系统动了手脚！"
Conversation-29-03-02,,"悠妮，怎样了？","悠妮，怎样了？"
Conversation-29-03-03,,"糟糕，系统进入了最终防卫状态！这。。","糟糕，系统进入了最终防卫状态！这。。"
Conversation-29-03-04,,"警告！中枢部有敌人侵入！","警告！中枢部有敌人侵入！"
Conversation-29-03-05,,"最终防卫状态启动！","最终防卫状态启动！"
Conversation-29-03-06,,"对外系统连结闭锁！自我防卫装置启动！","对外系统连结闭锁！自我防卫装置启动！"
Conversation-29-03-07,,"悠妮，小心！那三条龙是。。。。","悠妮，小心！那三条龙是。。。。"
Conversation-29-03-08,,"事到如今，也只能这样做了。。大家听着，这三条巨龙形状的东西是黄金城的防卫中枢，由于敌人的干扰，我们现在已经无法控制防卫中枢，必须集合大家的力量来把它们彻底摧毁！","事到如今，也只能这样做了。。大家听着，这三条巨龙形状的东西是黄金城的防卫中枢，由于敌人的干扰，我们现在已经无法控制防卫中枢，必须集合大家的力量来把它们彻底摧毁！"
Conversation-29-03-09,,"怎么摧毁？用武器砍烂吗？","怎么摧毁？用武器砍烂吗？"
Conversation-29-03-10,,"是的，直接攻击它们就行了！不过它们都有防卫装置防护，防卫装置的威力极为强大，千万不可大意！","是的，直接攻击它们就行了！不过它们都有防卫装置防护，防卫装置的威力极为强大，千万不可大意！"
Conversation-29-03-11,,"知道了！大家上吧！","知道了！大家上吧！"
Conversation-29-04-01,,"成了！","成了！"
Conversation-29-04-02,,"好极了，防卫中枢已经完全停止，虽然我们失去了指挥其他防卫部队的能力，但往后敌人也无法再利用防卫部队来阻止我们。#多谢大家的帮忙，现在只要再接管剩下的系统，便可以防止对方使用最终武器。","好极了，防卫中枢已经完全停止，虽然我们失去了指挥其他防卫部队的能力，但往后敌人也无法再利用防卫部队来阻止我们。#多谢大家的帮忙，现在只要再接管剩下的系统，便可以防止对方使用最终武器。"
Conversation-29-04-03,,"好极了，那我们接下来要怎么做？","好极了，那我们接下来要怎么做？"
Conversation-29-04-04,,"找出最后的敌人，我相信他是这一切事件的背后主使者，他是。。","找出最后的敌人，我相信他是这一切事件的背后主使者，他是。。"
Conversation-29-04-05,,"是指我吗？","是指我吗？"
Conversation-29-04-06,,"是。。是你！真的是你！","是。。是你！真的是你！"
Conversation-29-04-07,,"ASR-07，你的系统真的受损这么重吗？居然认敌为友，实在令我无法理解。。不过，还是很感谢你帮我送回这单元计算晶片，有了它，一直处在中止状况的「黑暗之焰」计划就可以继续下去了。。。。","ASR-07，你的系统真的受损这么重吗？居然认敌为友，实在令我无法理解。。不过，还是很感谢你帮我送回这单元计算晶片，有了它，一直处在中止状况的「黑暗之焰」计划就可以继续下去了。。。。"
Conversation-29-04-08,,"为何你始终不肯放弃这个疯狂的计划？","为何你始终不肯放弃这个疯狂的计划？"
Conversation-29-04-09,,"这些地上的蝼蚁，有什么留存的必要！我们当初接到的命令不就是毁灭他们吗？","这些地上的蝼蚁，有什么留存的必要！我们当初接到的命令不就是毁灭他们吗？"
Conversation-29-04-10,,"但我们最后接到了中止命令！「黑暗之焰」作战已经中止了！","但我们最后接到了中止命令！「黑暗之焰」作战已经中止了！"
Conversation-29-04-11,,"是中止，不是取消！#那些家伙命令我们进行最终计划，把我们留在这个该死的星球上，然后自己就逃到外太空去了！#想想我们已经等了多久！已经多久了！","是中止，不是取消！#那些家伙命令我们进行最终计划，把我们留在这个该死的星球上，然后自己就逃到外太空去了！#想想我们已经等了多久！已经多久了！"
Conversation-29-04-12,,"ASR-06，看来你的系统果然故障了！在上一次的意外中。。你一直没有试着去自我修复吗？","ASR-06，看来你的系统果然故障了！在上一次的意外中。。你一直没有试着去自我修复吗？"
Conversation-29-04-13,,"没有必要！我的使命就是执行作战计划。现在我终于可以开始履行我的职务了。。。。","没有必要！我的使命就是执行作战计划。现在我终于可以开始履行我的职务了。。。。"
Conversation-29-04-14,,"不可能的，我已成功的和最高命令系统连接，现在整个要塞的中枢都在我的控制之下！","不可能的，我已成功的和最高命令系统连接，现在整个要塞的中枢都在我的控制之下！"
Conversation-29-04-15,,"别傻了，你忘了我身为监视暨战斗系统，在使用武器上有最高的优先权限吗？即使你掌握整个系统中枢，攻击电脑仍然会接受我的命令。。。。","别傻了，你忘了我身为监视暨战斗系统，在使用武器上有最高的优先权限吗？即使你掌握整个系统中枢，攻击电脑仍然会接受我的命令。。。。"
Conversation-29-04-16,,"你。。。。","你。。。。"
Conversation-29-04-17,,"黑暗之焰系统三十秒后启动，目标马拉大陆！哇哈哈哈，我等这一刻好久了！","黑暗之焰系统三十秒后启动，目标马拉大陆！哇哈哈哈，我等这一刻好久了！"
Conversation-29-04-18,,"。。好，既然如此，我只有用最后一着了！。。。。","。。好，既然如此，我只有用最后一着了！。。。。"
Conversation-29-04-19,,"你想干什么？你阻止不了我的。。。。不，不，你不能这样做！","你想干什么？你阻止不了我的。。。。不，不，你不能这样做！"
Conversation-29-04-20,,"你启动了黑暗之焰，我就让反应炉逆转！#等到能量积蓄突破亚空间障壁的负荷量，引发空间扭曲我们就一起和这黄金城在超空间中永恒的漂流吧！","你启动了黑暗之焰，我就让反应炉逆转！#等到能量积蓄突破亚空间障壁的负荷量，引发空间扭曲我们就一起和这黄金城在超空间中永恒的漂流吧！"
Conversation-29-04-21,,"。。你这样做，这些人也难逃一劫！","。。你这样做，这些人也难逃一劫！"
Conversation-29-04-22,,"若让你启动了「黑暗之焰」，会有更多无辜的人因此丧命！为了保护这个大家所珍惜爱护的世界，相信。。相信大家不会怪我的！","若让你启动了「黑暗之焰」，会有更多无辜的人因此丧命！为了保护这个大家所珍惜爱护的世界，相信。。相信大家不会怪我的！"
Conversation-29-04-23,,"悠妮，做的好！无论如何，我们都不能和邪恶之徒妥协！","悠妮，做的好！无论如何，我们都不能和邪恶之徒妥协！"
Conversation-29-04-24,,"我们这些老头子早就都已经活的腻了，只可惜了这些前途大好的年轻人们。。。。","我们这些老头子早就都已经活的腻了，只可惜了这些前途大好的年轻人们。。。。"
Conversation-29-04-25,,"我们的传奇会留在罗特帝亚和马拉大陆的历史上吧！身为一个武士，这就是最高的回报了！","我们的传奇会留在罗特帝亚和马拉大陆的历史上吧！身为一个武士，这就是最高的回报了！"
