Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-01-01-01,,"累死了，大家休息一下吧！","累死了，大家休息一下吧！"
Conversation-01-01-02,,"听说再越过这片海洋就到马拉大陆了，我们先在此休息一会儿，等海水涨潮适合我们上岸的时候船夫就会来接我们。","听说再越过这片海洋就到马拉大陆了，我们先在此休息一会儿，等海水涨潮适合我们上岸的时候船夫就会来接我们。"
Conversation-01-01-03,,"好极了。#悠妮，你。。。恩，坐了这么久的船，有点累吧？","好极了。#悠妮，你。。。恩，坐了这么久的船，有点累吧？"
Conversation-01-01-04,,"恩，还好。海风吹起来真舒服阿。。。","恩，还好。海风吹起来真舒服阿。。。"
Conversation-01-01-05,,"。。。！！！","。。。！！！"
Conversation-01-01-06,,"瞧，竟有呆鸟在这小岛上休息，真是天上掉下来的肥肉。","瞧，竟有呆鸟在这小岛上休息，真是天上掉下来的肥肉。"
Conversation-01-01-07,,"就是说嘛！俺去通报老大支援，你们赶快把这些小子摆平。","就是说嘛！俺去通报老大支援，你们赶快把这些小子摆平。"
Conversation-01-01-08,,"亚雷斯，那群家伙在那里鬼叫什么？","亚雷斯，那群家伙在那里鬼叫什么？"
Conversation-01-01-09,,"恩。。。嘿，好像是船夫提到过的海盗耶！","恩。。。嘿，好像是船夫提到过的海盗耶！"
Conversation-01-01-10,,"海盗？是要来抢劫我们的吗？","海盗？是要来抢劫我们的吗？"
Conversation-01-01-11,,"岂止抢劫而已，听说这批海盗横行马拉大陆沿海，杀人越货无所不为。","岂止抢劫而已，听说这批海盗横行马拉大陆沿海，杀人越货无所不为。"
Conversation-01-01-12,,"什么，要打架我奉陪，要抢劫嘛，门也没有。亚雷斯，好久没活动活动筋骨了，你没问题吧！","什么，要打架我奉陪，要抢劫嘛，门也没有。亚雷斯，好久没活动活动筋骨了，你没问题吧！"
Conversation-01-01-13,,"岂止没问题，我手痒难熬，都快受不了啦！","岂止没问题，我手痒难熬，都快受不了啦！"
Conversation-01-01-14,,"喂，小子们，乖乖的把身上的钱财和那个漂亮小妞交出来，我们就在老大面前说说好话保你们一命！不然。。。","喂，小子们，乖乖的把身上的钱财和那个漂亮小妞交出来，我们就在老大面前说说好话保你们一命！不然。。。"
Conversation-01-01-15,,"什么是漂亮小妞？是指我吗？","什么是漂亮小妞？是指我吗？"
Conversation-01-01-16,,"不是啦，那是。。。","不是啦，那是。。。"
Conversation-01-01-17,,"可恶，你们这些乱说话的海盗，我要把你们全宰了！","可恶，你们这些乱说话的海盗，我要把你们全宰了！"
Conversation-01-01-18,,"啊呀，看来他们想抵抗呢！","啊呀，看来他们想抵抗呢！"
Conversation-01-01-19,,"那就杀无赦，上啊！","那就杀无赦，上啊！"
Conversation-01-02-01,,"老爸！老爸！","老爸！老爸！"
Conversation-01-02-02,,"真是的，吵的要命，到底在搞什么。。。","真是的，吵的要命，到底在搞什么。。。"
Conversation-01-02-03,,"老爸。。。#有人在岛上打架呢！","老爸。。。#有人在岛上打架呢！"
Conversation-01-02-04,,"什么！待我看看。。。#啊哈，可不是海盗在打劫旅客吗？居然在我们面前抢人，胆子不小啊！","什么！待我看看。。。#啊哈，可不是海盗在打劫旅客吗？居然在我们面前抢人，胆子不小啊！"
Conversation-01-02-05,,"就是说啊！老爸，您说这该怎么办？","就是说啊！老爸，您说这该怎么办？"
Conversation-01-02-06,,"小子啊，这可是绝佳的历练机会，我们就帮他们一个忙吧！","小子啊，这可是绝佳的历练机会，我们就帮他们一个忙吧！"
Conversation-01-02-07,,"老头子，你们是来干什么的？若不想受伤就别过来凑热闹！","老头子，你们是来干什么的？若不想受伤就别过来凑热闹！"
Conversation-01-02-08,,"别紧张，小伙子，我们是来帮你们打退海盗的。","别紧张，小伙子，我们是来帮你们打退海盗的。"
Conversation-01-02-09,,"什么？就这一点海盗，还用不着你们来帮忙！回去回去！","什么？就这一点海盗，还用不着你们来帮忙！回去回去！"
Conversation-01-02-10,,"哎，索尔，人家是好意要帮忙，你也说几句好听一点的吧！","哎，索尔，人家是好意要帮忙，你也说几句好听一点的吧！"
Conversation-01-02-11,,"这样吗？好吧，那就。。。喂，老头子，如果你要帮忙的话就先说声多谢了！","这样吗？好吧，那就。。。喂，老头子，如果你要帮忙的话就先说声多谢了！"
Conversation-01-02-12,,"这些年轻人真有精神啊！小子，我们上！","这些年轻人真有精神啊！小子，我们上！"
Conversation-01-02-13,,"好的，老爸！","好的，老爸！"
Conversation-01-03-01,,"咦，兄弟们好像陷入苦战呢！","咦，兄弟们好像陷入苦战呢！"
Conversation-01-03-02,,"那还等什么！我们上吧！","那还等什么！我们上吧！"
Conversation-01-04-01,,"小子们，你们在搞什么！连这些小鬼都收拾不了，还要劳动老大我出马，不怕给别人笑话吗？","小子们，你们在搞什么！连这些小鬼都收拾不了，还要劳动老大我出马，不怕给别人笑话吗？"
Conversation-01-04-02,,"哼，这难看又吵人的家伙又是来干什么的？","哼，这难看又吵人的家伙又是来干什么的？"
Conversation-01-04-03,,"大概是海盗首领吧！总算有个像样的对手上场了，这家伙就交给我来处理啦！","大概是海盗首领吧！总算有个像样的对手上场了，这家伙就交给我来处理啦！"
Conversation-01-04-04,,"那怎么可以！对付这种家伙，当然是非我莫属了！让我来！","那怎么可以！对付这种家伙，当然是非我莫属了！让我来！"
Conversation-01-04-05,,"索尔，你真是不够朋友！就为了在喜欢的女孩子面前逞能，竟然。。。","索尔，你真是不够朋友！就为了在喜欢的女孩子面前逞能，竟然。。。"
Conversation-01-04-06,,"你。。你胡说些什么！再乱说的话，我可就。。。","你。。你胡说些什么！再乱说的话，我可就。。。"
Conversation-01-04-07,,"喂！你们两个到底在吵什么！要吵的话，等进了地狱后再吵也不迟！","喂！你们两个到底在吵什么！要吵的话，等进了地狱后再吵也不迟！"
Conversation-01-04-08,,"你烦什么烦！滚一边去！","你烦什么烦！滚一边去！"
Conversation-01-04-09,,"这家伙讨厌的很，索尔，我们不吵了，先合力宰了他再说！","这家伙讨厌的很，索尔，我们不吵了，先合力宰了他再说！"
Conversation-01-04-10,,"好，就这么办！","好，就这么办！"
Conversation-01-04-11,,"可恶啊！这两个小子完全不把我放在眼里！给我杀！一个都别放过！","可恶啊！这两个小子完全不把我放在眼里！给我杀！一个都别放过！"
Conversation-01-05-01,,"咦！又有海盗在此逞凶了，现在正是我们海防队建攻的良机！","咦！又有海盗在此逞凶了，现在正是我们海防队建攻的良机！"
Conversation-01-05-02,,"今天真是热闹啊！你们又是来干什么的？","今天真是热闹啊！你们又是来干什么的？"
Conversation-01-05-03,,"我们是亚克斯王国的海岸巡防队，消灭肆虐沿海的海盗本是我们的职责，这些海盗就交给我们来处理，请各位放心！","我们是亚克斯王国的海岸巡防队，消灭肆虐沿海的海盗本是我们的职责，这些海盗就交给我们来处理，请各位放心！"
Conversation-01-05-04,,"鬼扯，我们打的正高兴，才不需要你们来搅局！","鬼扯，我们打的正高兴，才不需要你们来搅局！"
Conversation-01-05-05,,"索尔啊，我们就要踏进人家的地盘，至少对人家客气点吧！","索尔啊，我们就要踏进人家的地盘，至少对人家客气点吧！"
Conversation-01-05-06,,"没关系！我们这就来帮忙了！","没关系！我们这就来帮忙了！"
Conversation-01-07-01,,"多谢老爹和您公子的帮忙，我们才能顺利打败海盗。","多谢老爹和您公子的帮忙，我们才能顺利打败海盗。"
Conversation-01-07-02,,"哪里！#我和小子住在这岛上除了偶尔出去游历外，平常也闲来无事，帮你们打打海盗，不算什么啦！#对了，说到这个，老头子我倒是有个请求。","哪里！#我和小子住在这岛上除了偶尔出去游历外，平常也闲来无事，帮你们打打海盗，不算什么啦！#对了，说到这个，老头子我倒是有个请求。"
Conversation-01-07-03,,"老爹您说说看。","老爹您说说看。"
Conversation-01-07-04,,"我瞧我这小子和你们满合的来的，希望你们能带他同行，让它出去见识见识，历练一番。我从小教了他不少武术，当你们有麻烦的时候，相信他也可以帮上一点忙。","我瞧我这小子和你们满合的来的，希望你们能带他同行，让它出去见识见识，历练一番。我从小教了他不少武术，当你们有麻烦的时候，相信他也可以帮上一点忙。"
Conversation-01-07-05,,"这个好像有点。。。","这个好像有点。。。"
