Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-14-01-01,,"看到了！#那里有一大群兽人，好象还在休息呢！","看到了！#那里有一大群兽人，好象还在休息呢！"
Conversation-14-01-02,,"好极了，我们去叫醒他们","好极了，我们去叫醒他们"
Conversation-14-01-03,,"别太猴急，小子！#我们先小心接近，再伺机而动！","别太猴急，小子！#我们先小心接近，再伺机而动！"
Conversation-14-01-04,,"好，我们上吧！","好，我们上吧！"
Conversation-14-02-01,,"吼呜！#注意，有人接近了！","吼呜！#注意，有人接近了！"
Conversation-14-02-02,,"通通给我醒来！#开打了！","通通给我醒来！#开打了！"
Conversation-14-02-03,,"咦？对手呢？#怎么都是一堆小鬼头...","咦？对手呢？#怎么都是一堆小鬼头..."
Conversation-14-02-04,,"管他的，知道我们大军再次集结而还还敢接近的，一定不是一般的小鬼，先打了再说！","管他的，知道我们大军再次集结而还还敢接近的，一定不是一般的小鬼，先打了再说！"
Conversation-14-03-01,,"你们来这里干什么？#想要命的话就赶快说！","你们来这里干什么？#想要命的话就赶快说！"
Conversation-14-03-02,,"。。我。。我不知道啊，首领萨卡大人。。#四天前命令我们在此集结，准备。。准备攻打精灵族的都城哈斯米尔，有一队伙伴已经先去了，到现在还没回来，结果。。结果你们就先来了。。。","。。我。。我不知道啊，首领萨卡大人。。#四天前命令我们在此集结，准备。。准备攻打精灵族的都城哈斯米尔，有一队伙伴已经先去了，到现在还没回来，结果。。结果你们就先来了。。。"
Conversation-14-03-03,,"笨蛋，那一队早就被我们宰光了！#那么，你们的首领萨卡为何要攻打哈斯米尔？赶快说清楚！","笨蛋，那一队早就被我们宰光了！#那么，你们的首领萨卡为何要攻打哈斯米尔？赶快说清楚！"
Conversation-14-03-04,,"。。这。。这。。#我也不太清楚，只记得首领吩咐队长的时候有提到要杀光精灵族以及务必要抢到宝物，其他的我就没听清楚了。。。。","。。这。。这。。#我也不太清楚，只记得首领吩咐队长的时候有提到要杀光精灵族以及务必要抢到宝物，其他的我就没听清楚了。。。。"
Conversation-14-03-05,,"什么宝物？","什么宝物？"
Conversation-14-03-06,,"。。哎，我怎么可能知道。。。。#求你们饶了我吧，我保证不会回去向首领通风报信。。","。。哎，我怎么可能知道。。。。#求你们饶了我吧，我保证不会回去向首领通风报信。。"
Conversation-14-03-07,,"好吧，再回答我们一个问题，我们就放你走。#你们的首领萨卡现在在哪里？","好吧，再回答我们一个问题，我们就放你走。#你们的首领萨卡现在在哪里？"
Conversation-14-03-08,,"首领啊。。#他应该是率领另一队到拉卡湖就攻打豹人族了，如果没错的话，他应该还在那一带才对。。。。。#我知道的都告诉你们了，可以放我走了吧？","首领啊。。#他应该是率领另一队到拉卡湖就攻打豹人族了，如果没错的话，他应该还在那一带才对。。。。。#我知道的都告诉你们了，可以放我走了吧？"
Conversation-14-03-09,,"好，你可以走了！快滚吧！","好，你可以走了！快滚吧！"
Conversation-14-03-10,,"谢。。谢谢！","谢。。谢谢！"
Conversation-14-03-11,,"索尔，你怎么可以未经大家的同意就放他走呢！","索尔，你怎么可以未经大家的同意就放他走呢！"
Conversation-14-03-12,,"不要紧，我们需要的都已经知道了，不过情况好像更加麻烦了。。。","不要紧，我们需要的都已经知道了，不过情况好像更加麻烦了。。。"
Conversation-14-03-13,,"兽人族是吃了什么熊心豹子胆，竟敢同时攻打精灵族和豹人族！","兽人族是吃了什么熊心豹子胆，竟敢同时攻打精灵族和豹人族！"
Conversation-14-03-14,,"我看啊，一定是有人在背后指使，不然兽人族那来这么大的胆量。","我看啊，一定是有人在背后指使，不然兽人族那来这么大的胆量。"
Conversation-14-03-15,,"豹人族的战斗力在这大陆的几个种族中虽然也是数一数二的，但这种规模的攻击他们也未必挡的住，我们还是先去拉卡湖看看吧，必要时还可以支援他们。","豹人族的战斗力在这大陆的几个种族中虽然也是数一数二的，但这种规模的攻击他们也未必挡的住，我们还是先去拉卡湖看看吧，必要时还可以支援他们。"
Conversation-14-03-16,,"拉卡湖离此地不远，途中好像有个小村落，我们可以先在那里休息一下。","拉卡湖离此地不远，途中好像有个小村落，我们可以先在那里休息一下。"
Conversation-14-03-17,,"那我们还等什么？#走吧！","那我们还等什么？#走吧！"
