Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-21-01-01,,"呼！一路都没休息的赶路，真是累死人了。","呼！一路都没休息的赶路，真是累死人了。"
Conversation-21-01-02,,"希望我们还来得及。","希望我们还来得及。"
Conversation-21-01-03,,"这里好象是平日的聚会场所，不过为何充满了血腥味。","这里好象是平日的聚会场所，不过为何充满了血腥味。"
Conversation-21-01-04,,"啊！前面好象是敌方的大军，精灵族人被围在中间！","啊！前面好象是敌方的大军，精灵族人被围在中间！"
Conversation-21-01-05,,"不要做白日梦了！我宁可葬身于此，也不原作你们的俘虏！","不要做白日梦了！我宁可葬身于此，也不原作你们的俘虏！"
Conversation-21-01-06,,"老头子，识时务者为俊杰，我的雇主很需要像你这样法力高强又见识广博的大法师，如果你愿意投降，我保证他不会亏待你的。呵呵呵。","老头子，识时务者为俊杰，我的雇主很需要像你这样法力高强又见识广博的大法师，如果你愿意投降，我保证他不会亏待你的。呵呵呵。"
Conversation-21-01-07,,"少罗嗦了！精灵族可不是贪生怕死的种族，来一决胜负吧！","少罗嗦了！精灵族可不是贪生怕死的种族，来一决胜负吧！"
Conversation-21-01-08,,"有我在此，你们休想碰长老一根汗毛！ ","有我在此，你们休想碰长老一根汗毛！ "
Conversation-21-01-09,,"既然你们不肯跟我走，我就只好把你们的尸体带回去了，给我杀！","既然你们不肯跟我走，我就只好把你们的尸体带回去了，给我杀！"
Conversation-21-01-10,,"可恶！又是「死亡骷髅」！","可恶！又是「死亡骷髅」！"
Conversation-21-01-11,,"看来圣灵之塔已经落入敌手，剩下的精灵族人正在做最后的顽抗。#没办法，我们先保住他们的性命，再作其他的打算！","看来圣灵之塔已经落入敌手，剩下的精灵族人正在做最后的顽抗。#没办法，我们先保住他们的性命，再作其他的打算！"
Conversation-21-01-12,,"又有其他的傻瓜来了吗？#好极了，我正嫌这些精灵太少，杀起来不过瘾呢！","又有其他的傻瓜来了吗？#好极了，我正嫌这些精灵太少，杀起来不过瘾呢！"
Conversation-21-01-13,,"玛。。玛尔！原来是你！#没想到你还活着..","玛。。玛尔！原来是你！#没想到你还活着.."
Conversation-21-01-14,,"哦，是禁卫军的队长大人啊！#遗憾的很，「死亡骷髅」当年是被你们剿灭了，但我花了好几年的时间又把他重建起来，现在的「死亡骷髅」已非昔日所能比了..","哦，是禁卫军的队长大人啊！#遗憾的很，「死亡骷髅」当年是被你们剿灭了，但我花了好几年的时间又把他重建起来，现在的「死亡骷髅」已非昔日所能比了.."
Conversation-21-01-15,,"早知如此，当时就不该好心放你逃走的...","早知如此，当时就不该好心放你逃走的..."
Conversation-21-01-16,,"是吗？#那时没有追杀到底是你自己的疏忽，也好，我们顺便清算一下当年的帐....#你们都别想活着离开这里！","是吗？#那时没有追杀到底是你自己的疏忽，也好，我们顺便清算一下当年的帐....#你们都别想活着离开这里！"
Conversation-21-01-17,,"这种为钱卖命的恶棍，何必和他们罗嗦！#我们上！","这种为钱卖命的恶棍，何必和他们罗嗦！#我们上！"
Conversation-21-02-01,,"终于来了吗！宰了这些家伙！","终于来了吗！宰了这些家伙！"
Conversation-21-03-01,,"。。哼，小伙子们还真有一手啊....#败在你们手里，我没什么话好说了.. ","。。哼，小伙子们还真有一手啊....#败在你们手里，我没什么话好说了.. "
Conversation-21-03-02,,"玛尔！#..如果那时你改过向善，就不会有今天的结果！#..为什么...","玛尔！#..如果那时你改过向善，就不会有今天的结果！#..为什么..."
Conversation-21-03-03,,"..莱汀，我对你说过，我的身上流着罪犯的血液，我们是注定不能并肩作战的..#你以后可以放心了....唔...","..莱汀，我对你说过，我的身上流着罪犯的血液，我们是注定不能并肩作战的..#你以后可以放心了....唔..."
Conversation-21-03-04,,"玛尔....","玛尔...."
Conversation-21-03-05,,"我本来以为这回死定了，还好你们前来支援，我们才能战胜这个杀手集团，真是非常感激。","我本来以为这回死定了，还好你们前来支援，我们才能战胜这个杀手集团，真是非常感激。"
Conversation-21-03-06,,"幸好我们还赶得及，想必这是神的旨意。圣灵之塔的情形如何？","幸好我们还赶得及，想必这是神的旨意。圣灵之塔的情形如何？"
Conversation-21-03-07,,"三天前就已经被敌人攻入了，为了减少无谓的死伤，我就命令所有的守军撤退，所以那里的情形现在我也不很清楚。","三天前就已经被敌人攻入了，为了减少无谓的死伤，我就命令所有的守军撤退，所以那里的情形现在我也不很清楚。"
Conversation-21-03-08,,"我明白了。此外，我先前请你情形的调查可有结果？","我明白了。此外，我先前请你情形的调查可有结果？"
Conversation-21-03-09,,"我在王城的大图书馆中花了三个月研究古代典籍，还在各地的遗迹中进行挖掘，结果只得到了这只法杖和一点结论。","我在王城的大图书馆中花了三个月研究古代典籍，还在各地的遗迹中进行挖掘，结果只得到了这只法杖和一点结论。"
Conversation-21-03-10,,"恩，真是支很奇异的法杖....结论怎么说呢？","恩，真是支很奇异的法杖....结论怎么说呢？"
Conversation-21-03-11,,"根据古典籍的记载，有关你所说的「天空之钥」，事实上是由一个黄金徽章和五颗魔法宝石所构成的，这六样东西必须经由该法杖的魔力才能结合在一起，从而发僺及强大的力量，据说这力量可以克服时间和空间的限制，将使用者移动到遥远的未知地方去。","根据古典籍的记载，有关你所说的「天空之钥」，事实上是由一个黄金徽章和五颗魔法宝石所构成的，这六样东西必须经由该法杖的魔力才能结合在一起，从而发僺及强大的力量，据说这力量可以克服时间和空间的限制，将使用者移动到遥远的未知地方去。"
Conversation-21-03-12,,"很有趣的说法！你的结论呢？","很有趣的说法！你的结论呢？"
Conversation-21-03-13,,"那有什么结论！这六件东西，早在八百年前就不知道都失落都哪里去了，而当我开始试图要寻找它们的踪迹时，黑暗军就对亚述森林发动了攻击，我只好先中断了这段研究。","那有什么结论！这六件东西，早在八百年前就不知道都失落都哪里去了，而当我开始试图要寻找它们的踪迹时，黑暗军就对亚述森林发动了攻击，我只好先中断了这段研究。"
Conversation-21-03-14,,"我一直相信天空之钥和这一连串事端有关，既然你暂时无法完成研究，这个揣测也就只好作罢，我们得换一个新的调查方向....","我一直相信天空之钥和这一连串事端有关，既然你暂时无法完成研究，这个揣测也就只好作罢，我们得换一个新的调查方向...."
