Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-04-01-01,,"快到塞拉村拉！抄这条近路很快就到了。怎样？还是带着我比较好吧？","快到塞拉村拉！抄这条近路很快就到了。怎样？还是带着我比较好吧？"
Conversation-04-01-02,,"老是走这种小道，搞不好会碰上强盗哦！","老是走这种小道，搞不好会碰上强盗哦！"
Conversation-04-01-03,,"谁说的，这条路隐密的很，只有我才知道。。。","谁说的，这条路隐密的很，只有我才知道。。。"
Conversation-04-01-04,,"看，前面好像有人呢！","看，前面好像有人呢！"
Conversation-04-01-05,,"你们想到塞拉村吗？你们是来干什么的？","你们想到塞拉村吗？你们是来干什么的？"
Conversation-04-01-06,,"干你屁事！不要碍路！","干你屁事！不要碍路！"
Conversation-04-01-07,,"首领说的没错，果然有人抄小路来偷袭了！","首领说的没错，果然有人抄小路来偷袭了！"
Conversation-04-01-08,,"什么偷袭？把话讲清楚！","什么偷袭？把话讲清楚！"
Conversation-04-01-09,,"少装了！死吧！","少装了！死吧！"
Conversation-04-02-01,,"嗷呜！。。是谁在这里大吵大闹？","嗷呜！。。是谁在这里大吵大闹？"
Conversation-04-02-02,,"吼。。好象是人类在打架。","吼。。好象是人类在打架。"
Conversation-04-02-03,,"呼。。好象很有趣，我们去打人少的那一边！","呼。。好象很有趣，我们去打人少的那一边！"
Conversation-04-02-04,,"赞成！赞成！","赞成！赞成！"
Conversation-04-03-01,,"好可怕！不玩了！不玩了！","好可怕！不玩了！不玩了！"
Conversation-04-04-01,,"奇怪了，在这大陆上到处都遇得上强盗！","奇怪了，在这大陆上到处都遇得上强盗！"
Conversation-04-04-02,,"不对，塞拉村可能出事了！我们赶快赶过去看看！","不对，塞拉村可能出事了！我们赶快赶过去看看！"
Conversation-04-04-03,,"打了一场大战，不休息一下吗？","打了一场大战，不休息一下吗？"
Conversation-04-04-04,,"放心，途中有个小村落可以稍事休息。走吧！","放心，途中有个小村落可以稍事休息。走吧！"
