Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-07-01-01,,"这条路是通往王城的要道，虽然走这条路较快，但遇到王国守备军的机会也较高。。。。","这条路是通往王城的要道，虽然走这条路较快，但遇到王国守备军的机会也较高。。。。"
Conversation-07-01-02,,"你说的没错，我已经看到了。","你说的没错，我已经看到了。"
Conversation-07-01-03,,"前面那批人一定就是在普里兹港逞凶的匪徒，通通给我拿下！","前面那批人一定就是在普里兹港逞凶的匪徒，通通给我拿下！"
Conversation-07-01-04,,"等等，大家都是自己人，这是一场误会。。。。","等等，大家都是自己人，这是一场误会。。。。"
Conversation-07-01-05,,"少玩弄诡计想拖延时间了。乖乖的受死吧！","少玩弄诡计想拖延时间了。乖乖的受死吧！"
Conversation-07-01-06,,"哎，想不通，只好先打再说了。索尔，我们上！","哎，想不通，只好先打再说了。索尔，我们上！"
Conversation-07-01-07,,"啊？我没问题，你自己可要小心点，不要太勉强！","啊？我没问题，你自己可要小心点，不要太勉强！"
Conversation-07-01-08,,"索尔，谢谢你！","索尔，谢谢你！"
Conversation-07-02-01,,"哎呀！一大群男人追杀一个小姑娘，不觉得丢脸吗？","哎呀！一大群男人追杀一个小姑娘，不觉得丢脸吗？"
Conversation-07-02-02,,"你的一拳让我的部下得疗养三个月，无故殴打王国驻军可是重罪，乖乖的跟我回去说个明白吧！","你的一拳让我的部下得疗养三个月，无故殴打王国驻军可是重罪，乖乖的跟我回去说个明白吧！"
Conversation-07-02-03,,"谁教他对我乱瞄！你们王国军都是这个样子的吗？","谁教他对我乱瞄！你们王国军都是这个样子的吗？"
Conversation-07-02-04,,"哼。。。。不和你吵了，给我抓起来！","哼。。。。不和你吵了，给我抓起来！"
Conversation-07-02-05,,"咦！那边有王国军在围攻一个小女孩，这是怎么一回事？","咦！那边有王国军在围攻一个小女孩，这是怎么一回事？"
Conversation-07-02-06,,"喂，我们自己都顾不了了，不要再去凑热闹。。。。","喂，我们自己都顾不了了，不要再去凑热闹。。。。"
Conversation-07-02-07,,"什么！你能眼睁睁的看着一群王国军欺负一个小女孩？我自己去收拾他们好了。","什么！你能眼睁睁的看着一群王国军欺负一个小女孩？我自己去收拾他们好了。"
Conversation-07-02-08,,"好拉好拉，我陪你去就是了，反正不差这几个。。。","好拉好拉，我陪你去就是了，反正不差这几个。。。"
Conversation-07-02-09,,"好吧，那就上吧！","好吧，那就上吧！"
Conversation-07-03-01,,"可恶。。国王陛下，我不能再护卫您了。。请原谅属下的无能。。","可恶。。国王陛下，我不能再护卫您了。。请原谅属下的无能。。"
Conversation-07-03-02,,"你弄错了，我们不是来加害国王的！","你弄错了，我们不是来加害国王的！"
Conversation-07-03-03,,"是吗？。。那么。。前些日子到底是谁。。。。啊。。。。","是吗？。。那么。。前些日子到底是谁。。。。啊。。。。"
Conversation-07-04-01,,"多谢你们的帮忙！连王国的精锐部队也不是你们对手，你们到底是什么来历！","多谢你们的帮忙！连王国的精锐部队也不是你们对手，你们到底是什么来历！"
Conversation-07-04-02,,"这个说起来很麻烦，此地又很危险，我看你还是回家睡觉好了。","这个说起来很麻烦，此地又很危险，我看你还是回家睡觉好了。"
Conversation-07-04-03,,"什么，你竟敢小看我！若是你听到我老师的名字，包准你吓一大跳。。。","什么，你竟敢小看我！若是你听到我老师的名字，包准你吓一大跳。。。"
Conversation-07-04-04,,"凯丽小姐，你的身手的确是很不错，可以请教你的老师是那一位吗？","凯丽小姐，你的身手的确是很不错，可以请教你的老师是那一位吗？"
Conversation-07-04-05,,"这个。。还是不能告诉你！不过，如果你们愿意让我加入的话，我可以考虑透露一点。","这个。。还是不能告诉你！不过，如果你们愿意让我加入的话，我可以考虑透露一点。"
Conversation-07-04-06,,"欢迎！我们就要和王国军大战，正愁人手不够，有你的加入真是再好不过了。","欢迎！我们就要和王国军大战，正愁人手不够，有你的加入真是再好不过了。"
Conversation-07-04-07,,"以后我们就是伙伴了，请大家多多指教！","以后我们就是伙伴了，请大家多多指教！"
Conversation-07-04-08,,"此地不宜久留，凯丽小姐，我们这就上路吧！","此地不宜久留，凯丽小姐，我们这就上路吧！"
Conversation-07-05-01,,"看来我们又被人家误会了，索尔，现在我们该怎么办？","看来我们又被人家误会了，索尔，现在我们该怎么办？"
Conversation-07-05-02,,"那还用说，当然是杀进王城去弄个明白！","那还用说，当然是杀进王城去弄个明白！"
Conversation-07-05-03,,"恩，够气魄！","恩，够气魄！"
Conversation-07-05-04,,"我们快上路吧！这件事不弄个清楚，更麻烦的事还在后头呢！","我们快上路吧！这件事不弄个清楚，更麻烦的事还在后头呢！"
